medcommdispatch.org	69.49.130.253								
medicalproductsales.com	192.64.147.171								
mensmaintenance.org	192.168.132.36								
mercydocsonline.org	10.20.29.63								
mercyhospital.org	192.168.132.203								
mercyme.com	Not Found								
mercypacs.com	24.39.62.222								
meridianmobilehealth.com             	Not Found								
meurology.com	192.168.132.38								
meurology.org	192.168.132.38								
mihgh.com	192.168.132.102								
mihgh.org	192.168.132.102								
millerdrugcamprx.com	192.168.132.213								
millerdrug.com	10.20.29.68								
miraclesinmaine.com	192.168.132.38								
miraclesinmaine.org	192.168.132.161								
moveandimprove.com	192.168.132.44								
moveandimprove.org	192.168.132.143								
mybhmhprovider.org	192.168.132.130								
myemhshealth.org	192.168.132.113								
myinlandprovider.org	192.168.132.152								
myonlinehealth.com	192.168.132.36								
myonlinehealth.net	192.168.132.36								
myonlinehealth.org	192.168.132.36								
nehi.org	192.64.147.171								
northeastcardiology.com	66.231.212.69								
pathfindersmaine.org	192.168.132.161								
redyyouthtriathlon.org	173.203.24.234								
remarkablebeginswithyou.com	192.168.132.161								
remarkablebeginswithyou.org	192.168.132.161								
restorativehealthresults.org	192.168.132.211								
rightcarerightplace.emmc.org	192.168.132.38								
riversidebangor.com	192.168.132.161								
riversidebangor.org	192.168.132.161								
rivervalleyhomecare.org	192.168.132.161								
rosscare.com	173.203.24.234								
rosscare.org	173.203.24.234								
sebasticookhospital.org	192.168.132.161								
sebasticookvalleyhealth.com	192.168.132.103								
sebasticookvalleyhealth.org	173.203.24.234								
stayamazing.com	192.168.132.36								
stayamazing.org	192.168.132.36								
sunburypc.com	192.168.132.38								
supportgroups.emmc.org	192.168.132.38								
svhomecare.com	192.168.132.161								
svhomecare.org	192.168.132.161								
tamc.org	166.78.192.57								
visitingnursesofaroostook.org	192.168.132.161								
vnahomehealth.org	173.236.172.93								
vnamaine.org	192.168.132.161								
workhealthllc.com	192.168.132.161								
workhealthllc.info	192.168.132.161								
workhealthllc.net	192.168.132.161								
workhealthllc.org	192.168.132.161								
worldofwomenswellness.com	192.168.132.38	192.168.132.36							
worldofwomenswellness.org	192.168.132.38	192.168.132.36							
